,Bases_sequenced,BamFile,Proportion_Genome_At_10x,primerset
180,541783329,WbD-20-sg-3_S4_L001.Fg_only.bam,0.997044445,WbD
181,554008586,WbD-20-sg-3_S4_L001.Fg_only.bam,0.997456187,WbD
182,566263572,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998053293,WbD
183,578590359,WbD-20-sg-3_S4_L001.Fg_only.bam,0.997643128,WbD
184,590879808,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998286772,WbD
185,603302366,WbD-20-sg-3_S4_L001.Fg_only.bam,0.997996501,WbD
186,615517288,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998018587,WbD
187,627895573,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998492643,WbD
188,640175278,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998372749,WbD
189,652545156,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998194485,WbD
190,664780522,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998385369,WbD
191,677098359,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99843033,WbD
192,689408238,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998349874,WbD
193,701740548,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998568366,WbD
194,714005307,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998664597,WbD
195,726301198,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998700881,WbD
196,738614816,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998836551,WbD
197,750908360,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998682739,WbD
198,763270260,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998718234,WbD
199,775513779,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998775815,WbD
200,787946754,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99886258,WbD
201,800234491,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998905175,WbD
202,812573820,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998945402,WbD
203,824898123,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999044,WbD
204,837162348,WbD-20-sg-3_S4_L001.Fg_only.bam,0.998964333,WbD
205,849451506,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99892726,WbD
206,861748792,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999025858,WbD
207,874071492,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99907634,WbD
208,886390397,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999109468,WbD
209,898718560,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999117356,WbD
210,911038111,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999199389,WbD
211,923307419,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999160739,WbD
212,935637314,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999170993,WbD
213,947925577,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999193079,WbD
214,960252926,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99923094,WbD
215,972534886,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999249871,WbD
216,984914744,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999226208,WbD
217,997144007,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999169416,WbD
218,1009608000,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999193868,WbD
219,1021880775,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999249082,WbD
220,1034067910,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999245927,WbD
221,1046453435,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999283789,WbD
222,1058766938,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999304297,WbD
223,1071156302,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999208066,WbD
224,1083283006,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999306663,WbD
225,1095666982,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999318495,WbD
226,1107928256,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999300353,WbD
227,1120313837,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999296409,WbD
228,1132605569,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999338214,WbD
229,1144900629,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999357145,WbD
230,1157229917,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999331115,WbD
231,1169524461,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99938633,WbD
232,1181814480,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99934768,WbD
233,1194143048,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999425769,WbD
234,1206466576,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999316128,WbD
235,1218755029,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999317706,WbD
236,1231033224,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999342158,WbD
237,1243398594,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999361878,WbD
238,1255711039,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99934768,WbD
239,1268010547,WbD-20-sg-3_S4_L001.Fg_only.bam,0.999383963,WbD
240,1280350062,WbD-20-sg-3_S4_L001.Fg_only.bam,0.99938633,WbD
