,bases_sequenced,File_name,Proportion_genome_covered_10x,primerset
217,171646066,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.037247831,1558358
218,183968842,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.040634863,1558358
219,196226018,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.044247214,1558358
220,208448920,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.048368231,1558358
221,220745942,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.05282496,1558358
222,233027589,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.057467111,1558358
223,245302317,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.062536099,1558358
224,257504080,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.066542417,1558358
225,269810443,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.07267974,1558358
226,282098583,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.077821718,1558358
227,294286014,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.082675814,1558358
228,306615992,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.088028377,1558358
229,318859938,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.091353752,1558358
230,331131070,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.098091094,1558358
231,343399208,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.102578197,1558358
232,355608570,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.108538485,1558358
233,367882944,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.113408449,1558358
234,380183414,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.118759878,1558358
235,392392712,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.123937444,1558358
236,404693136,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.129943294,1558358
237,416935213,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.136034375,1558358
238,429170880,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.141673913,1558358
239,441483728,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.14686644,1558358
240,453714867,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.152295166,1558358
241,465998712,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.158483946,1558358
242,478256128,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.164254051,1558358
243,490522134,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.169523875,1558358
244,502792668,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.175709935,1558358
245,515049019,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.181265374,1558358
246,12442,1558358-merged-Reseq.bam,0,1558358
247,12247495,1558358-merged-Reseq.bam,0.000933009,1558358
248,24506863,1558358-merged-Reseq.bam,0.00182363,1558358
249,36773476,1558358-merged-Reseq.bam,0.002977877,1558358
250,48982500,1558358-merged-Reseq.bam,0.004365604,1558358
251,61242454,1558358-merged-Reseq.bam,0.006307106,1558358
252,73450617,1558358-merged-Reseq.bam,0.008066132,1558358
253,85700689,1558358-merged-Reseq.bam,0.010605839,1558358
254,97981854,1558358-merged-Reseq.bam,0.013503019,1558358
255,110208969,1558358-merged-Reseq.bam,0.016336728,1558358
256,122419219,1558358-merged-Reseq.bam,0.019664824,1558358
257,134712345,1558358-merged-Reseq.bam,0.023200557,1558358
258,146963868,1558358-merged-Reseq.bam,0.026818121,1558358
259,159244404,1558358-merged-Reseq.bam,0.030506409,1558358
260,171476918,1558358-merged-Reseq.bam,0.033869186,1558358
261,183634028,1558358-merged-Reseq.bam,0.0377973,1558358
262,195943133,1558358-merged-Reseq.bam,0.041819713,1558358
263,208149651,1558358-merged-Reseq.bam,0.045491906,1558358
264,220442245,1558358-merged-Reseq.bam,0.0509263,1558358
265,232679627,1558358-merged-Reseq.bam,0.055366254,1558358
266,244846725,1558358-merged-Reseq.bam,0.059360558,1558358
267,257118364,1558358-merged-Reseq.bam,0.065476347,1558358
268,269369568,1558358-merged-Reseq.bam,0.070808282,1558358
269,281618963,1558358-merged-Reseq.bam,0.074778104,1558358
270,293881165,1558358-merged-Reseq.bam,0.081274714,1558358
271,306104899,1558358-merged-Reseq.bam,0.086226508,1558358
272,318431969,1558358-merged-Reseq.bam,0.091794869,1558358
273,330685331,1558358-merged-Reseq.bam,0.098619255,1558358
274,342871466,1558358-merged-Reseq.bam,0.102928416,1558358
275,355107370,1558358-merged-Reseq.bam,0.108751336,1558358
276,367406627,1558358-merged-Reseq.bam,0.115624232,1558358
277,379570493,1558358-merged-Reseq.bam,0.12064743,1558358
278,391868883,1558358-merged-Reseq.bam,0.126455617,1558358
279,404125020,1558358-merged-Reseq.bam,0.1332188,1558358
280,416339125,1558358-merged-Reseq.bam,0.139260012,1558358
281,428534432,1558358-merged-Reseq.bam,0.145497528,1558358
282,440905027,1558358-merged-Reseq.bam,0.152276579,1558358
283,453098865,1558358-merged-Reseq.bam,0.157028216,1558358
284,465299712,1558358-merged-Reseq.bam,0.164303466,1558358
285,477566785,1558358-merged-Reseq.bam,0.170331078,1558358
286,489823553,1558358-merged-Reseq.bam,0.176996563,1558358
287,502005493,1558358-merged-Reseq.bam,0.181225026,1558358
288,514245371,1558358-merged-Reseq.bam,0.189617348,1558358
289,526540324,1558358-merged-Reseq.bam,0.19558557,1558358
290,538819305,1558358-merged-Reseq.bam,0.20196952,1558358
291,551102232,1558358-merged-Reseq.bam,0.207426808,1558358
292,563292939,1558358-merged-Reseq.bam,0.21530253,1558358
293,575549902,1558358-merged-Reseq.bam,0.219992964,1558358
294,587818700,1558358-merged-Reseq.bam,0.226935903,1558358
295,600064743,1558358-merged-Reseq.bam,0.234259663,1558358
296,612258663,1558358-merged-Reseq.bam,0.239094265,1558358
297,624454064,1558358-merged-Reseq.bam,0.245624876,1558358
298,636715689,1558358-merged-Reseq.bam,0.25196417,1558358
299,648999717,1558358-merged-Reseq.bam,0.257090054,1558358
300,661279045,1558358-merged-Reseq.bam,0.26446459,1558358
301,673518782,1558358-merged-Reseq.bam,0.270174171,1558358
302,685674546,1558358-merged-Reseq.bam,0.274885006,1558358
303,697983956,1558358-merged-Reseq.bam,0.282423204,1558358
304,710287111,1558358-merged-Reseq.bam,0.286179722,1558358
305,722494820,1558358-merged-Reseq.bam,0.295190424,1558358
306,734691073,1558358-merged-Reseq.bam,0.299627658,1558358
307,746890596,1558358-merged-Reseq.bam,0.305538983,1558358
308,759189035,1558358-merged-Reseq.bam,0.310836689,1558358
309,771448992,1558358-merged-Reseq.bam,0.317053123,1558358
310,783640692,1558358-merged-Reseq.bam,0.323097736,1558358
311,796047669,1558358-merged-Reseq.bam,0.329935723,1558358
312,808110171,1558358-merged-Reseq.bam,0.333895572,1558358
313,820344524,1558358-merged-Reseq.bam,0.339506775,1558358
314,832594710,1558358-merged-Reseq.bam,0.345783506,1558358
315,844900172,1558358-merged-Reseq.bam,0.35142735,1558358
316,857079801,1558358-merged-Reseq.bam,0.355723137,1558358
317,869488413,1558358-merged-Reseq.bam,0.363961318,1558358
318,881659167,1558358-merged-Reseq.bam,0.367492971,1558358
319,893859228,1558358-merged-Reseq.bam,0.372014076,1558358
